id,muni_nombre,sede_nombre,direccion,email,naju_nombre,grse_nombre,serv_nombre,latitude,longitude
1,BARRANQUILLA,ANTONIO EDUARDO CHAGUI ANAYA,CLL 78 # 57-215 CONS 406,chaguia@hotmail.com,Privada,Consulta Externa,CIRUGÍA GENERAL,11.0083073,-74.8045593
2,BARRANQUILLA,JAIME ORLANDO IBARRA GOMEZ,CALLE 85 No.50-37 CONS 712,glucosajoi2@yahoo.com,Privada,Consulta Externa,MEDICINA INTERNA,11.0053663,-74.81994730000001
3,BARRANQUILLA,NADIM SAID HACHEM,CLL 78 # 57-215 CONS 304,cecisaid@yahoo.com,Privada,Consulta Externa,CIRUGÍA GENERAL,11.0083073,-74.8045593
4,BARRANQUILLA,NADIM SAID HACHEM,CLL 78 # 57-215 CONS 304,cecisaid@yahoo.com,Privada,Consulta Externa,GASTROENTEROLOGÍA,11.0083073,-74.8045593
5,BARRANQUILLA,GLADYS DEL SOCORRO SALEM HENRIQUEZ,CARRERA 49C No.80-125 CONS 710,gladyssalem@hotmail.com,Privada,Consulta Externa,DERMATOLOGÍA,11.0010834,-74.81456589999999
6,BARRANQUILLA,GLADYS DEL SOCORRO SALEM HENRIQUEZ,CALLE 66 # 38 - 99 CLUB DE LEONES MONARCA CONS 4 BLOQUE A,gladyssalem@hotmail.com,Privada,Consulta Externa,DERMATOLOGÍA,10.9840068,-74.80239019999999
7,BARRANQUILLA,HECTOR GOMEZ RODRIGUEZ,cra49c N.80-125 consultorio 710,tabardillo54@hotmail.com,Privada,Consulta Externa,PEDIATRÍA,11.0011419,-74.8145553
8,BARRANQUILLA,HECTOR GOMEZ RODRIGUEZ,CALLE 66 N° 38-99 CLUB DE LEONES MONARCA CONS N° 7 BLOQUE A,tabardillo54@hotmail.com,Privada,Consulta Externa,PEDIATRÍA,10.9840068,-74.80239019999999
9,BARRANQUILLA,BENJAMIN JESUS BOJANINI SAFDIE,CRA 49C # 80-125,urolitbbs@hotmail.com,Privada,Consulta Externa,UROLOGÍA,11.0010834,-74.81456589999999
10,BARRANQUILLA,UROLIT B.B.S,CRA 49C # 80 - 125 CONSULTORIO 404 - 405-406,urolitbbs@hotmail.com,Privada,Consulta Externa,UROLOGÍA,11.0011419,-74.8145553
11,BARRANQUILLA,CARLOS MAURICIO GARCIA SILVA,CARRERA 49 C No 80- 125 CONS 508,cmgarciasi@hotmail.com,Privada,Consulta Externa,ORTOPEDIA Y/O TRAUMATOLOGÍA,11.0010834,-74.81456589999999
12,BARRANQUILLA,LIBIA RAQUEL RUEDA RUEDA,CARRERA 49C No 80 - 125 CONSULTORIO 207,libia_raquel@hotmail.com,Privada,Consulta Externa,ENDODONCIA,11.0010834,-74.81456589999999
13,BARRANQUILLA,ANA MARIA LUX BONELE,CRA 49C # 80-13 CONS 405,alux2009@gmail.com,Privada,Consulta Externa,PEDIATRÍA,11.0009522,-74.81371659999999
14,BARRANQUILLA,HELLER MC BRIDE ERICH ROBERT,KRA 51 No. 84-184 OF 220,fande7566@gmail.com,Privada,Consulta Externa,ODONTOLOGÍA GENERAL,11.005898,-74.819281
15,BARRANQUILLA,HELLER MC BRIDE ERICH ROBERT,KRA 51 No. 84-184 OF 220,fande7566@gmail.com,Privada,Consulta Externa,ORTODONCIA,11.005898,-74.819281
16,BARRANQUILLA,JORGE ELIECER BARRIOS BARRIOS,CALLE 78 No. 57-215,kamunajera9@hotmail.com,Privada,Consulta Externa,OTORRINOLARINGOLOGÍA,11.0083073,-74.8045593
17,BARRANQUILLA,LABORATORIO CLINICO FALAB LTDA.,CARRERA 49B #79-99,mariangeles.davila@synlab.co,Privada,Apoyo Diagnóstico y Complementación Terapéutica,LABORATORIO CLÍNICO,10.99955,-74.8122609
18,BARRANQUILLA,LABORATORIO CLINICO FALAB LTDA.,CARRERA 49B #79-99,mariangeles.davila@synlab.co,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,10.99955,-74.8122609
19,BARRANQUILLA,LABORATORIO CLINICO FALAB LTDA.,CARRERA 49B #79-99,mariangeles.davila@synlab.co,Privada,Apoyo Diagnóstico y Complementación Terapéutica,FISIOTERAPIA,10.99955,-74.8122609
20,BARRANQUILLA,LABORATORIO CLINICO FALAB LTDA.,CARRERA 49B #79-99,mariangeles.davila@synlab.co,Privada,Apoyo Diagnóstico y Complementación Terapéutica,FONOAUDIOLOGÍA Y/O TERAPIA DEL LENGUAJE,10.99955,-74.8122609
21,BARRANQUILLA,LABORATORIO CLINICO FALAB LTDA.,CARRERA 49B #79-99,mariangeles.davila@synlab.co,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLÓGICAS,10.99955,-74.8122609
22,BARRANQUILLA,FALAB IPS,CRA 47 No 79-100,mariangeles.davila@synlab.co,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,10.9993627,-74.81237519999999
23,BARRANQUILLA,LABORATORIO CLINICO FALAB LTDA.,CARRERA 49B #79-99,mariangeles.davila@synlab.co,Privada,Consulta Externa,MEDICINA DEL TRABAJO Y MEDICINA LABORAL,10.99955,-74.8122609
24,BARRANQUILLA,FALAB IPS,CRA 47 No 79-100,mariangeles.davila@synlab.co,Privada,Consulta Externa,MEDICINA GENERAL,10.9993627,-74.81237519999999
25,BARRANQUILLA,FALAB IPS,CRA 47 No 79-100,mariangeles.davila@synlab.co,Privada,Consulta Externa,OPTOMETRÍA,10.9993627,-74.81237519999999
26,BARRANQUILLA,FALAB IPS,CRA 47 No 79-100,mariangeles.davila@synlab.co,Privada,Consulta Externa,PSICOLOGÍA,10.9993627,-74.81237519999999
27,BARRANQUILLA,FALAB IPS,CRA 47 No 79-100,mariangeles.davila@synlab.co,Privada,Consulta Externa,MEDICINA DEL TRABAJO Y MEDICINA LABORAL,10.9993627,-74.81237519999999
28,BARRANQUILLA,PASTEUR LABORATORIOS CLINICOS DE COLOMBIA S.A.,CARRERA 50 No.79-172,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,LABORATORIO CLÍNICO,11.0018057,-74.8109181
29,BARRANQUILLA,PASTEUR LABORATORIOS CLINICOS DE COLOMBIA S.A.,CARRERA 50 No.79-172,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,11.0018057,-74.8109181
30,BARRANQUILLA,PASTEUR LABORATORIOS CLINICOS DE COLOMBIA S.A.,CARRERA 50 No.79-172,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,11.0018057,-74.8109181
31,BARRANQUILLA,PASTEUR LABORATORIO CLINICO DE COLOMBIA,Calle 42 # 41-80,,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,10.9812435,-74.7827681
32,BARRANQUILLA,PASTEUR LABORATORIO CLINICO DE COLOMBIA,Calle 42 # 41-80,,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,10.9812435,-74.7827681
33,BARRANQUILLA,PASTEUR LABORATORIOS CLINICOS DE COLOMBIA SEDE ELITE,Calle 80 # 50 - 38,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,LABORATORIO CITOLOGÍAS CERVICO-UTERINAS,11.0018993,-74.81214829999999
34,BARRANQUILLA,PASTEUR LABORATORIOS CLINICOS DE COLOMBIA SEDE ELITE,Calle 80 # 50 - 38,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,11.0018993,-74.81214829999999
35,BARRANQUILLA,VILLA CAROLINA,CALLE 93 No.71-49 LOCAL 102,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,11.0207579,-74.81645929999999
36,BARRANQUILLA,VILLA CAROLINA,CALLE 93 No.71-49 LOCAL 102,info@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,11.0207579,-74.81645929999999
37,BARRANQUILLA,PASTEUR LABORATORIOS CLINICOS DE COLOMBIA S.A.S,carrera 25 # 53D -65,calidad@pasteurlab.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,10.9736216,-74.7975045
38,BARRANQUILLA,JUAN ANDRES MEDINA QUIMBAYO,CARRERA 52 #84-98 Consultorio 208 Clínica Oftalmologica Unidad Laser,optimed@hotmail.com,Privada,Consulta Externa,OPTOMETRÍA,11.0071576,-74.8175083
39,BARRANQUILLA,JUAN ANDRES MEDINA QUIMBAYO,CARRERA 25 No.53D-65,optimed@hotmail.com,Privada,Consulta Externa,OPTOMETRÍA,10.9724696,-74.7983426
40,BARRANQUILLA,LABORATORIO ABBA CLINICO MICROBIOLOGICO E INDUSTRIAL LTDA,CARRERA 38 No.66-90 PISO 1,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,LABORATORIO CLÍNICO,10.9833396,-74.8034515
41,BARRANQUILLA,LABORATORIO ABBA CLINICO MICROBIOLOGICO E INDUSTRIAL LTDA,CARRERA 38 No.66-90 PISO 1,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,10.9833396,-74.8034515
42,BARRANQUILLA,LABORATORIO ABBA CLINICO MICROBIOLOGICO E INDUSTRIAL LTDA,CARRERA 38 No.66-90 PISO 1,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,10.9833396,-74.8034515
43,BARRANQUILLA,COOMEVA PRADO,CARRERA 58 NO 74 -71,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,11.0041892,-74.800359
44,BARRANQUILLA,COOMEVA PRADO,CARRERA 58 NO 74 -71,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,11.0041892,-74.800359
45,BARRANQUILLA,CLUB DE LEONES DE BARRANQUILLA MONARCA,CALLE 66 38 99,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,10.9841232,-74.802694
46,BARRANQUILLA,CLUB DE LEONES DE BARRANQUILLA MONARCA,CALLE 66 38 99,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,10.9841232,-74.802694
47,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,11.0036914,-74.8198158
48,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,TAMIZACIÓN DE CÁNCER DE CUELLO UTERINO,11.0036914,-74.8198158
49,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Consulta Externa,GINECOBSTETRICIA,11.0036914,-74.8198158
50,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Consulta Externa,MEDICINA GENERAL,11.0036914,-74.8198158
51,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Consulta Externa,MEDICINA INTERNA,11.0036914,-74.8198158
52,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Consulta Externa,PEDIATRÍA,11.0036914,-74.8198158
53,BARRANQUILLA,ABBA HEALTH,CARRERA 49C # 84 -97,abbasanta@hotmail.com,Privada,Consulta Externa,VACUNACIÓN,11.0036914,-74.8198158
54,BARRANQUILLA,ANTONIO MIGUEL JALLER RAAD,CARRERA 51B No.82-211,clinipiel@hotmail.com,Privada,Consulta Externa,DERMATOLOGÍA,11.0189377,-74.87152549999999
55,BARRANQUILLA,SALVADOR NAZZAR CABALLERO,CARRERA 49C No.80-125 CONS 701 PISO 7,salnaca@hotmail.com,Privada,Consulta Externa,NEUROCIRUGÍA,11.0044329,-74.8212126
56,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,SERVICIO FARMACÉUTICO,11.0061745,-74.8176535
57,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,IMÁGENES DIAGNOSTICAS - NO IONIZANTES,11.0061745,-74.8176535
58,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,ANESTESIA,11.0061745,-74.8176535
59,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,MEDICINA GENERAL,11.0061745,-74.8176535
60,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,OFTALMOLOGÍA,11.0061745,-74.8176535
61,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,OPTOMETRÍA,11.0061745,-74.8176535
62,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,ORTOPEDIA Y/O TRAUMATOLOGÍA,11.0061745,-74.8176535
63,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,OTRAS CONSULTAS DE ESPECIALIDAD,11.0061745,-74.8176535
64,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,CIRUGÍA PLÁSTICA Y ESTÉTICA,11.0061745,-74.8176535
65,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Consulta Externa,CIRUGÍA VASCULAR,11.0061745,-74.8176535
66,BARRANQUILLA,INSTITUTO DE LA VISION DEL NORTE & CIA. LTDA.,CRA. 51B # 84-150,daysigon@gmail.com,Privada,Quirúrgicos,CIRUGÍA OFTALMOLÓGICA,11.0061745,-74.8176535
67,BARRANQUILLA,ORGANIZACIÓN CLINICA GENERAL DEL NORTE S.A,CARRERA 48 # 70-38,cgeneral@clinicageneraldelnorte.com,Privada,Apoyo Diagnóstico y Complementación Terapéutica,DIAGNÓSTICO CARDIOVASCULAR,10.9948696,-74.8029265
